"","d","control","r1","r2","r3","weight","perc_treated","precinct","municipality","t2009","inc_vs2009","challengers_vs2009","state","anal05","spri05","sdye05","see05","sagua05","srefri05","pisotie05","i_spoverty","corr33","corr66","corr100","t3_info","t2006","inc_vs2006","challengers_vs2006"
"459",0,1,0,0,0,1.27631581049423,NA,549,"COMALCALCO",70.4779739379883,31.2089977264404,39.2689781188965,"27",0.074898786842823,0.327217131853104,0.0423452742397785,0.0162866450846195,0.573770463466644,0.381107479333878,0.157377049326897,1.05042850971222,1,0,0,0.00999999977648258,64.1563415527344,34.3183975219727,29.8379402160645
"460",0,1,0,0,0,1.27631581049423,NA,525,"COMALCALCO",63.988094329834,27.6041660308838,36.3839302062988,"27",0.010858834721148,0.154656127095222,0.0316529907286167,0.0246189925819635,0.206330597400665,0.104337632656097,0.0046893316321075,-0.634806215763092,1,0,0,0.00999999977648258,52.4235649108887,21.9985084533691,30.4250564575195
"461",1,0,0,0,1,13.8571434618563,1,593,"COMALCALCO",71.7806015014648,22.4960250854492,49.2845802307129,"27",0.0842541605234146,0.30435436964035,0.0581083185970783,0.0173528958112001,0.286525249481201,0.337570428848267,0.107435971498489,0.690975248813629,1,0,0,0.00999999977648258,61.8094482421875,33.4667739868164,28.3426742553711
"462",0,1,0,0,0,1.27631581049423,NA,515,"COMALCALCO",61.538459777832,29.5355587005615,32.0029029846191,"27",0.0172490701079369,0.171672865748405,0.0438302606344223,0.0432719141244888,0.0879397019743919,0.10273589938879,0.0114461192861199,-0.548344075679779,1,0,0,0.00999999977648258,59.5513763427734,22.7930526733398,36.7583198547363
"463",0,0,0,0,1,13.8571434618563,0,595,"COMALCALCO",78.1904754638672,30.2857151031494,47.9047622680664,"27",0.0537325963377953,0.301298886537552,0.0462713725864887,0.0286096874624491,0.0501848086714745,0.363475233316422,0.103443115949631,0.377309173345566,1,0,0,0.00999999977648258,69.6531829833984,36.8015403747559,32.8516387939453
"464",0,1,0,0,0,1.27631581049423,NA,551,"COMALCALCO",75.2314834594727,35.0308647155762,40.2006187438965,"27",0.0859204977750778,0.366391330957413,0.0634730532765388,0.00898203626275063,0.354359090328217,0.440675765275955,0.208433717489243,1.25478398799896,1,0,0,0.00999999977648258,62.9571990966797,36.1089477539062,26.8482494354248
"465",0,1,0,0,0,1.27631581049423,NA,570,"COMALCALCO",78.8944702148438,32.2613067626953,46.6331672668457,"27",0.257247537374496,0.449930906295776,0.202169641852379,0.0502667129039764,0.211704269051552,0.711656033992767,0.267385005950928,3.20952939987183,1,0,0,0.00999999977648258,64.2529296875,31.1575717926025,33.0953598022461
"466",1,0,0,1,0,13.8571434618563,1,533,"COMALCALCO",68.8041610717773,29.116117477417,39.6880416870117,"27",0.0280289333313704,0.203435808420181,0.0262996926903725,0.0201834868639708,0.0587155967950821,0.100305818021297,0.0122324153780937,-0.60691237449646,1,0,0,0.00999999977648258,67.5021591186523,33.1028518676758,34.3993072509766
"467",0,1,0,0,0,1.27631581049423,NA,514,"COMALCALCO",62.8304824829102,30.4821147918701,32.3483657836914,"27",0.0187869016081095,0.166532471776009,0.0460829511284828,0.0414746515452862,0.0629800334572792,0.0896057337522507,0.0081925243139267,-0.596289694309235,1,0,0,0.00999999977648258,60.769229888916,18.3076915740967,42.461540222168
"468",0,1,0,0,0,1.27631581049423,NA,603,"COMALCALCO",71.104606628418,31.6752014160156,39.4294090270996,"27",0.1595798432827,0.430788189172745,0.0864075496792793,0.0350241549313068,0.672780752182007,0.542709708213806,0.169453740119934,2.18761301040649,1,0,0,0.00999999977648258,60.0735282897949,31.544116973877,28.529411315918
"469",0,0,0,1,0,13.8571434618563,0,597,"COMALCALCO",79.5023727416992,30.2132701873779,49.2891006469727,"27",0.109561443328857,0.333426386117935,0.114214047789574,0.0251791700720787,0.634732902050018,0.286120384931564,0.0999267175793648,1.30821633338928,1,0,0,0.00999999977648258,63.8095245361328,28.9285717010498,34.8809509277344
"470",0,1,0,0,0,1.27631581049423,NA,599,"COMALCALCO",69.1676406860352,24.3845252990723,44.7831192016602,"27",0.121149629354477,0.422868967056274,0.0489764846861362,0.0155642023310065,0.578353226184845,0.324648976325989,0.146544262766838,1.37121558189392,1,0,0,0.00999999977648258,53.6526947021484,25.6287422180176,28.0239524841309
"471",0,1,0,0,0,1.27631581049423,NA,581,"COMALCALCO",74.038459777832,31.5247249603271,42.5137367248535,"27",0.063997894525528,0.277757525444031,0.0212830286473036,0.0368193276226521,0.136662095785141,0.240418449044228,0.0802462995052338,0.148503109812737,1,0,0,0.00999999977648258,65.8691024780273,33.5679092407227,32.301197052002
"472",1,0,1,0,0,13.8571434618563,1,513,"COMALCALCO",62.2213973999023,32.0950965881348,30.1263008117676,"27",0.0169997289776802,0.160683616995811,0.0501193329691887,0.0480736456811428,0.0705761983990669,0.101602457463741,0.0126150706782937,-0.54563581943512,1,0,0,0.00999999977648258,48.5907554626465,21.0071411132812,27.5836143493652
"473",1,0,1,0,0,13.8571434618563,1,605,"COMALCALCO",71.4968185424805,27.3885345458984,44.1082801818848,"27",0.0976821258664131,0.374172180891037,0.00980392191559076,0,0.779411792755127,0.303921580314636,0.0392156876623631,0.856544196605682,1,0,0,0.00999999977648258,66.6666641235352,33.1753540039062,33.4913101196289
"474",0,1,0,0,0,1.27631581049423,NA,528,"COMALCALCO",62.1273155212402,27.8404521942139,34.286865234375,"27",0.0214422196149826,0.182577311992645,0.0216277744621038,0.0187820140272379,0.0406943671405315,0.0816733092069626,0.00768355140462518,-0.752691328525543,1,0,0,0.00999999977648258,57.0564498901367,28.0241928100586,29.0322589874268
"475",0,1,0,0,0,1.27631581049423,NA,604,"COMALCALCO",71.3301162719727,29.3590621948242,41.9710540771484,"27",0.117669582366943,0.352954983711243,0.0506679005920887,0.0174729842692614,0.490834653377533,0.325495302677155,0.187096685171127,1.24204075336456,1,0,0,0.00999999977648258,59.7923889160156,33.4948081970215,26.2975769042969
"476",0,1,0,0,0,1.27631581049423,NA,568,"COMALCALCO",66.2695922851562,34.6081504821777,31.6614418029785,"27",0.109550565481186,0.356213867664337,0.0789473652839661,0.0182186234742403,0.330612272024155,0.392712563276291,0.185714289546013,1.28413569927216,1,0,0,0.00999999977648258,63.9975166320801,34.2023582458496,29.7951583862305
"477",0,1,0,0,0,1.27631581049423,NA,554,"COMALCALCO",67.7731704711914,29.5297374725342,38.2434310913086,"27",0.0718241631984711,0.334725797176361,0.0309316087514162,0.0341425836086273,0.149470701813698,0.293908476829529,0.0630669966340065,0.375828891992569,1,0,0,0.00999999977648258,63.312370300293,33.5429763793945,29.7693920135498
